Datum,Kraj,incidence 7,incidence 14,incidence 7 na 100 000,incidence 14 na 100 000
2020-03-01,Hlavní město Praha,2,2,0.15,0.15
2020-03-01,Středočeský kraj,0,0,0.0,0.0
2020-03-01,Jihočeský kraj,0,0,0.0,0.0
2020-03-01,Plzeňský kraj,0,0,0.0,0.0
2020-03-01,Karlovarský kraj,0,0,0.0,0.0
2020-03-01,Ústecký kraj,1,1,0.122,0.122
2020-03-01,Liberecký kraj,0,0,0.0,0.0
2020-03-01,Královéhradecký kraj,0,0,0.0,0.0
2020-03-01,Pardubický kraj,0,0,0.0,0.0
2020-03-01,Kraj Vysočina,0,0,0.0,0.0
2020-03-01,Jihomoravský kraj,0,0,0.0,0.0
2020-03-01,Olomoucký kraj,0,0,0.0,0.0
2020-03-01,Zlínský kraj,0,0,0.0,0.0
2020-03-01,Moravskoslezský kraj,0,0,0.0,0.0
2020-03-01,,0,0,,
2020-03-02,Hlavní město Praha,2,2,0.15,0.15
2020-03-02,Středočeský kraj,0,0,0.0,0.0
2020-03-02,Jihočeský kraj,0,0,0.0,0.0
2020-03-02,Plzeňský kraj,0,0,0.0,0.0
2020-03-02,Karlovarský kraj,0,0,0.0,0.0
2020-03-02,Ústecký kraj,1,1,0.122,0.122
2020-03-02,Liberecký kraj,0,0,0.0,0.0
2020-03-02,Královéhradecký kraj,0,0,0.0,0.0
2020-03-02,Pardubický kraj,0,0,0.0,0.0
2020-03-02,Kraj Vysočina,0,0,0.0,0.0
2020-03-02,Jihomoravský kraj,0,0,0.0,0.0
2020-03-02,Olomoucký kraj,0,0,0.0,0.0
2020-03-02,Zlínský kraj,0,0,0.0,0.0
2020-03-02,Moravskoslezský kraj,0,0,0.0,0.0
2020-03-02,,0,0,,
2020-03-03,Hlavní město Praha,3,3,0.225,0.225
2020-03-03,Středočeský kraj,0,0,0.0,0.0
2020-03-03,Jihočeský kraj,0,0,0.0,0.0
2020-03-03,Plzeňský kraj,0,0,0.0,0.0
2020-03-03,Karlovarský kraj,0,0,0.0,0.0
2020-03-03,Ústecký kraj,2,2,0.245,0.245
2020-03-03,Liberecký kraj,0,0,0.0,0.0
2020-03-03,Královéhradecký kraj,0,0,0.0,0.0
2020-03-03,Pardubický kraj,0,0,0.0,0.0
2020-03-03,Kraj Vysočina,0,0,0.0,0.0
2020-03-03,Jihomoravský kraj,0,0,0.0,0.0
2020-03-03,Olomoucký kraj,0,0,0.0,0.0
