Datum,vakcína,věková skupina,pohlaví,počet dávek
2020-12-27,Comirnaty,18-24,Z,25
2020-12-27,Comirnaty,18-24,,4
2020-12-27,Comirnaty,18-24,M,23
2020-12-27,Comirnaty,25-29,Z,79
2020-12-27,Comirnaty,25-29,M,37
2020-12-27,Comirnaty,30-34,Z,66
2020-12-27,Comirnaty,30-34,,1
2020-12-27,Comirnaty,30-34,M,48
2020-12-27,Comirnaty,35-39,Z,75
2020-12-27,Comirnaty,35-39,M,45
2020-12-27,Comirnaty,35-39,,2
2020-12-27,Comirnaty,40-44,M,59
2020-12-27,Comirnaty,40-44,Z,118
2020-12-27,Comirnaty,40-44,,1
2020-12-27,Comirnaty,45-49,M,41
2020-12-27,Comirnaty,45-49,Z,126
2020-12-27,Comirnaty,50-54,M,45
2020-12-27,Comirnaty,50-54,,1
2020-12-27,Comirnaty,50-54,Z,102
2020-12-27,Comirnaty,55-59,M,34
2020-12-27,Comirnaty,55-59,,1
2020-12-27,Comirnaty,55-59,Z,75
2020-12-27,Comirnaty,60-64,Z,61
2020-12-27,Comirnaty,60-64,M,37
2020-12-27,Comirnaty,65-69,M,37
2020-12-27,Comirnaty,65-69,Z,44
2020-12-27,Comirnaty,70-74,Z,25
2020-12-27,Comirnaty,70-74,,1
2020-12-27,Comirnaty,70-74,M,26
2020-12-27,Comirnaty,75-79,M,7
2020-12-27,Comirnaty,75-79,Z,13
2020-12-27,Comirnaty,80+,Z,11
2020-12-27,Comirnaty,80+,M,15
2020-12-28,Comirnaty,18-24,Z,56
2020-12-28,Comirnaty,18-24,,1
2020-12-28,Comirnaty,18-24,M,20
2020-12-28,Comirnaty,25-29,M,88
2020-12-28,Comirnaty,25-29,,2
2020-12-28,Comirnaty,25-29,Z,105
2020-12-28,Comirnaty,30-34,M,108
2020-12-28,Comirnaty,30-34,Z,118
2020-12-28,Comirnaty,30-34,,3
2020-12-28,Comirnaty,35-39,M,85
2020-12-28,Comirnaty,35-39,Z,131
2020-12-28,Comirnaty,35-39,,1
2020-12-28,Comirnaty,40-44,Z,206
2020-12-28,Comirnaty,40-44,M,91
2020-12-28,Comirnaty,45-49,M,97
2020-12-28,Comirnaty,45-49,Z,227
2020-12-28,Comirnaty,50-54,Z,179
2020-12-28,Comirnaty,50-54,M,61
2020-12-28,Comirnaty,55-59,Z,167
2020-12-28,Comirnaty,55-59,M,37
2020-12-28,Comirnaty,60-64,Z,132
2020-12-28,Comirnaty,60-64,M,49
2020-12-28,Comirnaty,65-69,M,61
2020-12-28,Comirnaty,65-69,Z,75
2020-12-28,Comirnaty,70-74,M,50
